      Time     Sample #  Type  Sub Chan  Num	Aux
[21:26:37.784]  4899446     +    0    0    0	(N
[21:27:13.164]  4908291     +    0    0    0	(AFIB
[23:41:08.420]  6917105     +    0    0    0	(N
[23:41:37.316]  6924329     +    0    0    0	(AFIB
[23:53:19.372]  7099843     +    0    0    0	(N
[23:53:46.448]  7106612     +    0    0    0	(AFIB
[23:54:32.480]  7118120     +    0    0    0	(N
[23:55:04.500]  7126125     +    0    0    0	(AFIB
[00:08:10.500 1]  7322625     +    0    0    0	(N
[00:08:28.500 1]  7327125     +    0    0    0	(AFIB
[00:16:35.000 1]  7448750     +    0    0    0	(N
[00:16:55.000 1]  7453750     +    0    0    0	(AFIB
[00:21:18.500 1]  7519625     +    0    0    0	(N
[00:21:53.000 1]  7528250     +    0    0    0	(AFIB
[00:39:44.000 1]  7796000     +    0    0    0	(J
[00:40:08.000 1]  7802000     +    0    0    0	(AFIB
[00:41:15.500 1]  7818875     +    0    0    0	(J
[00:41:43.000 1]  7825750     +    0    0    0	(AFIB
[00:42:08.500 1]  7832125     +    0    0    0	(J
[00:42:24.000 1]  7836000     +    0    0    0	(AFIB
[00:42:47.500 1]  7841875     +    0    0    0	(J
[00:43:01.500 1]  7845375     +    0    0    0	(AFIB
[00:43:45.000 1]  7856250     +    0    0    0	(J
[00:45:03.500 1]  7875875     +    0    0    0	(AFIB
[00:46:46.140 1]  7901535     +    0    0    0	(J
[00:47:56.372 1]  7919093     +    0    0    0	(N
