      Time     Sample #  Type  Sub Chan  Num	Aux
[11:00:00.316]       79     +    0    0    0	(N
[12:48:52.200]  1633050     +    0    0    0	(AFIB
[12:48:55.996]  1633999     +    0    0    0	(N
[13:06:40.480]  1900120     +    0    0    0	(AFIB
[13:06:46.100]  1901525     +    0    0    0	(N
[13:31:20.616]  2270154     +    0    0    0	(AFIB
[13:31:22.348]  2270587     +    0    0    0	(N
[13:51:36.392]  2574098     +    0    0    0	(AFIB
[13:51:40.760]  2575190     +    0    0    0	(N
[13:52:45.060]  2591265     +    0    0    0	(AFIB
[13:52:55.800]  2593950     +    0    0    0	(N
[13:54:35.536]  2618884     +    0    0    0	(AFIB
[13:54:39.892]  2619973     +    0    0    0	(N
[14:11:49.600]  2877400     +    0    0    0	(AFIB
[14:12:03.204]  2880801     +    0    0    0	(N
[15:50:01.396]  4350349     +    0    0    0	(AFIB
[15:50:43.948]  4360987     +    0    0    0	(N
